               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081198,            0.043412,            0.026141,             0.61258,             0.17417,             0.13994,            0.053451,            0.054871,            0.030058,            0.015011,           0.0033244,           0.0033244,             0.07008
                   1,            0.078315,             0.03864,            0.014274,              0.3977,             0.28191,              0.1362,            0.046102,            0.075283,            0.027638,            0.012339,           0.0066563,           0.0066563,            0.040079
                   2,            0.092088,            0.034581,            0.012787,             0.43189,             0.18233,             0.12989,             0.04506,            0.091592,            0.023067,            0.011578,           0.0099822,           0.0099822,            0.010072
                   3,            0.096142,            0.032754,            0.012353,             0.37976,             0.23069,             0.11549,             0.03804,            0.092046,            0.023818,            0.011292,             0.00998,             0.00998,             0.00998
                   4,            0.097578,            0.032154,            0.012177,             0.41515,             0.27492,             0.15144,            0.049579,            0.081258,            0.026179,            0.011206,             0.00998,             0.00998,             0.00998
                   5,            0.094185,            0.033185,            0.012062,             0.45213,             0.22396,             0.13858,            0.043379,            0.081384,            0.026433,            0.011031,           0.0099645,           0.0099645,           0.0099645
                   6,            0.097271,            0.032407,            0.011913,             0.42756,             0.28415,             0.15224,             0.04682,            0.081151,            0.025933,            0.010976,           0.0099446,           0.0099446,           0.0099446
                   7,             0.09654,            0.032224,            0.011911,             0.42266,             0.28326,             0.16291,            0.055893,            0.079155,            0.025988,            0.010941,           0.0099203,           0.0099203,           0.0099203
                   8,            0.095226,            0.033191,            0.011867,             0.42498,             0.28154,             0.16521,            0.057815,            0.069941,            0.027413,             0.01092,           0.0098916,           0.0098916,           0.0098916
                   9,            0.097054,            0.032576,            0.011741,              0.4146,             0.27622,             0.15092,            0.055134,            0.082713,             0.02645,            0.010865,           0.0098586,           0.0098586,           0.0098586
                  10,            0.096628,            0.032779,            0.011792,             0.42741,             0.28546,             0.16644,            0.057562,            0.080211,            0.026562,            0.010865,           0.0098213,           0.0098213,           0.0098213
                  11,            0.094359,            0.033176,            0.011813,             0.45392,             0.28725,             0.19357,            0.068992,             0.06606,            0.028784,            0.010874,           0.0097798,           0.0097798,           0.0097798
                  12,            0.099229,            0.031332,            0.011797,             0.42895,             0.27898,             0.16619,            0.055974,            0.082691,            0.026263,            0.010815,            0.009734,            0.009734,            0.009734
                  13,            0.095931,            0.032926,            0.011712,             0.45052,             0.28514,             0.18674,            0.064149,            0.070823,            0.027904,            0.010796,            0.009684,            0.009684,            0.009684
                  14,            0.095003,            0.033124,            0.011654,             0.47566,             0.28008,             0.20529,            0.078643,             0.07199,            0.028418,            0.010784,           0.0096299,           0.0096299,           0.0096299
                  15,            0.095752,            0.033036,            0.011663,             0.45724,             0.27573,              0.1821,            0.061144,            0.078084,             0.02727,            0.010781,           0.0095717,           0.0095717,           0.0095717
                  16,            0.094457,            0.033313,            0.011632,             0.44607,             0.29334,             0.19384,            0.071886,             0.07256,            0.028111,            0.010782,           0.0095095,           0.0095095,           0.0095095
                  17,            0.095396,            0.032781,             0.01171,             0.45771,             0.30021,             0.20023,            0.075319,             0.07443,            0.027553,            0.010756,           0.0094434,           0.0094434,           0.0094434
                  18,            0.096123,            0.032915,            0.011751,             0.45513,             0.26515,             0.18168,            0.064634,            0.089904,            0.024094,            0.010776,           0.0093733,           0.0093733,           0.0093733
                  19,            0.094787,            0.033136,            0.011709,             0.46768,             0.27264,             0.19221,            0.069015,             0.07287,            0.027686,            0.010739,           0.0092995,           0.0092995,           0.0092995
                  20,            0.093396,            0.033736,            0.011583,             0.48533,             0.27214,             0.20714,            0.076878,            0.063911,            0.029512,            0.010747,           0.0092219,           0.0092219,           0.0092219
                  21,             0.09359,            0.033679,            0.011702,             0.47428,             0.27413,             0.19713,            0.071815,            0.071091,            0.028041,            0.010756,           0.0091406,           0.0091406,           0.0091406
                  22,            0.092826,            0.033748,            0.011704,             0.46081,             0.28243,             0.19856,            0.073467,            0.071125,            0.028556,            0.010728,           0.0090557,           0.0090557,           0.0090557
                  23,            0.092779,            0.033727,            0.011574,             0.48288,             0.28312,             0.21293,            0.078702,            0.072912,            0.028127,            0.010732,           0.0089673,           0.0089673,           0.0089673
                  24,             0.09217,            0.034173,            0.011591,             0.47071,             0.28013,             0.20512,            0.074469,            0.078133,            0.027233,            0.010725,           0.0088755,           0.0088755,           0.0088755
                  25,             0.09347,            0.033703,             0.01163,             0.44781,             0.32123,             0.20751,            0.078024,            0.076361,            0.027653,            0.010718,           0.0087804,           0.0087804,           0.0087804
                  26,            0.091098,            0.034407,            0.011703,             0.48739,              0.2762,             0.20962,            0.076352,            0.066398,            0.029283,            0.010712,            0.008682,            0.008682,            0.008682
                  27,            0.093682,            0.033525,            0.011651,             0.46945,             0.28116,             0.20385,            0.078022,            0.082122,            0.026478,            0.010723,           0.0085805,           0.0085805,           0.0085805
                  28,            0.092199,            0.034102,            0.011672,              0.4772,             0.28511,             0.21269,             0.08062,             0.07518,            0.027897,            0.010705,           0.0084759,           0.0084759,           0.0084759
                  29,            0.090998,            0.034391,            0.011547,              0.4847,             0.28238,              0.2178,             0.08402,            0.071089,            0.028422,            0.010698,           0.0083684,           0.0083684,           0.0083684
                  30,             0.08945,            0.034928,            0.011594,              0.4875,             0.27951,             0.21632,            0.082374,            0.068377,            0.028596,            0.010702,           0.0082581,           0.0082581,           0.0082581
                  31,            0.090597,            0.034659,            0.011681,             0.49407,             0.28593,             0.22352,            0.086532,            0.061708,            0.030285,            0.010698,            0.008145,            0.008145,            0.008145
                  32,            0.088616,            0.035028,            0.011591,             0.50786,             0.28231,             0.22774,            0.088176,            0.057396,            0.030508,            0.010693,           0.0080294,           0.0080294,           0.0080294
                  33,            0.090343,            0.034396,            0.011581,             0.48205,             0.28044,             0.20877,             0.07893,            0.069197,            0.028632,            0.010683,           0.0079112,           0.0079112,           0.0079112
                  34,            0.089184,            0.035076,            0.011615,             0.48149,             0.28996,             0.21884,             0.08355,            0.066911,            0.029188,            0.010682,           0.0077907,           0.0077907,           0.0077907
                  35,            0.087491,            0.035518,            0.011574,             0.49413,             0.28639,             0.22455,             0.08751,            0.063208,            0.029608,            0.010685,           0.0076679,           0.0076679,           0.0076679
                  36,            0.088856,            0.035079,            0.011603,              0.4919,             0.28722,             0.22474,            0.087732,            0.067106,            0.029072,            0.010689,            0.007543,            0.007543,            0.007543
                  37,            0.087479,            0.035246,            0.011577,             0.49741,             0.28651,             0.22746,             0.08918,            0.063316,            0.029634,            0.010687,            0.007416,            0.007416,            0.007416
                  38,            0.086531,            0.035579,            0.011644,             0.50174,             0.28453,             0.22837,            0.089546,            0.061772,            0.029853,            0.010684,           0.0072872,           0.0072872,           0.0072872
                  39,            0.087467,            0.035568,            0.011487,             0.50149,             0.28356,             0.22727,            0.089363,            0.064376,            0.029427,             0.01068,           0.0071566,           0.0071566,           0.0071566
                  40,            0.085551,            0.036011,            0.011705,              0.5047,             0.28302,             0.22869,            0.090176,             0.06375,            0.029479,            0.010679,           0.0070243,           0.0070243,           0.0070243
                  41,             0.08423,             0.03606,            0.011606,             0.50573,             0.28323,             0.22891,             0.09039,            0.062138,            0.029654,            0.010679,           0.0068906,           0.0068906,           0.0068906
                  42,            0.084373,             0.03586,            0.011553,             0.50834,             0.28202,             0.22926,            0.090611,            0.061091,            0.029749,            0.010675,           0.0067555,           0.0067555,           0.0067555
                  43,            0.084912,            0.036181,            0.011568,             0.51324,             0.27893,             0.23041,            0.091453,            0.059767,            0.029882,            0.010673,           0.0066191,           0.0066191,           0.0066191
                  44,            0.085414,            0.036135,            0.011574,             0.51295,             0.27873,             0.23056,            0.091687,             0.05978,            0.029897,            0.010673,           0.0064816,           0.0064816,           0.0064816
                  45,            0.083984,            0.036458,              0.0115,             0.51174,             0.27937,             0.23064,            0.092117,            0.060505,            0.029804,            0.010674,           0.0063432,           0.0063432,           0.0063432
                  46,            0.082707,            0.036524,            0.011587,             0.51374,             0.27787,             0.23089,            0.092328,            0.060283,            0.029813,            0.010673,            0.006204,            0.006204,            0.006204
                  47,            0.081695,             0.03695,            0.011525,             0.51458,             0.27844,             0.23122,            0.092619,            0.059564,            0.029878,            0.010672,            0.006064,            0.006064,            0.006064
                  48,            0.081874,            0.036745,            0.011516,             0.51423,             0.27881,             0.23164,            0.092972,            0.059545,            0.029864,            0.010671,           0.0059235,           0.0059235,           0.0059235
                  49,            0.080278,            0.037015,            0.011516,              0.5153,             0.27989,             0.23243,            0.093323,            0.058965,            0.029912,             0.01067,           0.0057826,           0.0057826,           0.0057826
                  50,            0.079179,              0.0377,            0.011546,             0.51363,             0.28161,             0.23287,            0.093558,            0.058418,            0.029951,            0.010669,           0.0056413,           0.0056413,           0.0056413
                  51,            0.080157,            0.037574,            0.011626,             0.51366,             0.27992,             0.23258,            0.093735,            0.058772,            0.029891,            0.010669,              0.0055,              0.0055,              0.0055
                  52,            0.078528,            0.037418,            0.011648,             0.51424,             0.28083,             0.23306,            0.093935,            0.058366,            0.029917,            0.010668,           0.0053587,           0.0053587,           0.0053587
                  53,            0.077387,             0.03771,            0.011579,             0.50906,             0.28629,             0.23359,            0.094595,            0.057881,            0.029949,            0.010666,           0.0052174,           0.0052174,           0.0052174
                  54,            0.077059,            0.037843,            0.011521,             0.51612,             0.27974,             0.23334,            0.094795,            0.057459,            0.029971,            0.010666,           0.0050765,           0.0050765,           0.0050765
                  55,            0.076292,            0.037926,            0.011579,             0.49037,             0.30933,             0.23396,            0.095432,            0.057022,            0.029995,            0.010665,            0.004936,            0.004936,            0.004936
                  56,            0.075617,             0.03814,             0.01159,             0.49329,             0.30595,             0.23228,            0.095402,            0.056661,            0.030008,            0.010665,            0.004796,            0.004796,            0.004796
                  57,            0.074943,            0.038539,            0.011498,             0.49116,             0.31043,             0.23275,            0.095685,            0.056264,            0.030027,            0.010666,           0.0046568,           0.0046568,           0.0046568
                  58,             0.07405,            0.038142,            0.011564,             0.49488,             0.30713,             0.23395,            0.096189,            0.055862,            0.030044,            0.010665,           0.0045184,           0.0045184,           0.0045184
                  59,            0.073778,            0.038434,             0.01157,             0.51135,             0.28939,             0.23424,            0.096552,            0.055499,            0.030057,            0.010664,           0.0043809,           0.0043809,           0.0043809
                  60,            0.073056,            0.038237,            0.011665,             0.49556,             0.30853,             0.23449,            0.096998,            0.055117,            0.030069,            0.010663,           0.0042445,           0.0042445,           0.0042445
                  61,            0.073541,              0.0384,            0.011513,             0.49434,             0.30915,             0.23418,            0.096966,            0.055375,            0.030021,            0.010663,           0.0041094,           0.0041094,           0.0041094
                  62,            0.070792,            0.039189,            0.011641,              0.4959,             0.30869,             0.23504,              0.0973,            0.055022,            0.030025,            0.010663,           0.0039757,           0.0039757,           0.0039757
                  63,            0.070364,            0.038746,            0.011505,             0.50066,             0.30287,             0.23559,            0.097702,            0.054688,            0.030027,            0.010663,           0.0038434,           0.0038434,           0.0038434
                  64,            0.069989,            0.039157,            0.011575,             0.50288,              0.3018,             0.23457,            0.097767,            0.054385,            0.030028,            0.010662,           0.0037128,           0.0037128,           0.0037128
                  65,            0.068726,            0.039541,             0.01151,             0.50542,             0.30112,             0.23564,            0.098229,            0.054059,            0.030028,            0.010662,            0.003584,            0.003584,            0.003584
                  66,            0.068597,            0.039572,            0.011474,             0.50681,             0.30326,             0.23721,             0.09875,            0.053713,            0.030027,            0.010661,            0.003457,            0.003457,            0.003457
                  67,             0.06707,            0.039399,            0.011534,             0.50904,             0.30161,             0.23734,            0.099243,            0.053399,            0.030021,             0.01066,           0.0033321,           0.0033321,           0.0033321
                  68,            0.066097,            0.039844,            0.011617,             0.50899,             0.30265,             0.23761,            0.099734,              0.0531,            0.030012,             0.01066,           0.0032093,           0.0032093,           0.0032093
                  69,            0.065783,            0.039661,             0.01158,             0.51075,             0.30109,             0.23816,             0.10017,            0.052825,            0.030005,             0.01066,           0.0030888,           0.0030888,           0.0030888
                  70,            0.064829,            0.040175,            0.011539,             0.51194,             0.29944,             0.23817,             0.10048,            0.052533,            0.029991,             0.01066,           0.0029706,           0.0029706,           0.0029706
                  71,            0.064115,            0.039711,            0.011652,             0.50964,             0.30548,              0.2392,             0.10093,            0.052246,            0.029983,             0.01066,            0.002855,            0.002855,            0.002855
                  72,            0.063015,            0.039988,              0.0115,              0.5096,             0.30571,             0.23922,             0.10128,            0.051973,            0.029969,             0.01066,           0.0027419,           0.0027419,           0.0027419
                  73,            0.062463,            0.040043,            0.011511,             0.51023,             0.30665,             0.23947,             0.10159,            0.051707,            0.029955,            0.010659,           0.0026316,           0.0026316,           0.0026316
                  74,            0.061397,            0.040397,            0.011535,              0.5125,             0.30542,             0.23932,             0.10199,             0.05145,            0.029934,            0.010659,           0.0025241,           0.0025241,           0.0025241
                  75,            0.060762,            0.040361,            0.011563,             0.51302,             0.30397,             0.23931,             0.10215,            0.051198,            0.029919,            0.010659,           0.0024195,           0.0024195,           0.0024195
                  76,            0.059921,            0.040105,            0.011467,             0.52133,              0.2957,             0.23969,             0.10261,            0.050951,              0.0299,            0.010659,            0.002318,            0.002318,            0.002318
                  77,            0.059292,            0.040457,            0.011474,                0.52,             0.29792,             0.24002,             0.10287,            0.050711,            0.029878,            0.010658,           0.0022196,           0.0022196,           0.0022196
                  78,            0.058598,            0.040613,            0.011522,             0.52121,             0.29715,             0.24007,             0.10322,            0.050482,            0.029857,            0.010659,           0.0021245,           0.0021245,           0.0021245
                  79,            0.057946,            0.040848,            0.011563,             0.52119,             0.29779,             0.23982,             0.10337,            0.050258,            0.029834,            0.010658,           0.0020327,           0.0020327,           0.0020327
                  80,            0.057312,            0.040139,             0.01163,             0.52104,             0.29852,             0.23935,             0.10358,            0.050039,             0.02981,            0.010657,           0.0019443,           0.0019443,           0.0019443
                  81,            0.056795,            0.040301,            0.011468,             0.52175,              0.2969,             0.23892,             0.10368,            0.049829,            0.029785,            0.010657,           0.0018594,           0.0018594,           0.0018594
                  82,            0.056019,            0.040513,            0.011519,              0.5218,             0.29738,             0.23897,             0.10379,            0.049634,             0.02976,            0.010658,           0.0017781,           0.0017781,           0.0017781
                  83,            0.055481,            0.040738,            0.011533,             0.52328,             0.29649,             0.23915,             0.10399,             0.04944,            0.029734,            0.010657,           0.0017005,           0.0017005,           0.0017005
                  84,            0.054668,             0.04058,            0.011614,             0.51161,             0.31008,             0.23913,             0.10417,            0.049254,            0.029709,            0.010657,           0.0016267,           0.0016267,           0.0016267
                  85,            0.054125,            0.040503,            0.011501,             0.51358,             0.30952,             0.23937,             0.10439,            0.049076,            0.029681,            0.010656,           0.0015566,           0.0015566,           0.0015566
                  86,            0.053833,            0.040571,            0.011602,             0.51251,             0.30983,             0.23956,             0.10465,            0.048907,            0.029653,            0.010656,           0.0014905,           0.0014905,           0.0014905
                  87,            0.053457,            0.040653,            0.011628,             0.51385,             0.30904,             0.23927,             0.10467,            0.048744,            0.029627,            0.010656,           0.0014283,           0.0014283,           0.0014283
                  88,            0.052962,            0.040645,            0.011517,              0.5166,             0.30569,             0.23909,             0.10494,            0.048587,            0.029601,            0.010655,           0.0013701,           0.0013701,           0.0013701
                  89,            0.052375,            0.040576,            0.011551,             0.51515,             0.30798,             0.23938,             0.10501,            0.048432,            0.029572,            0.010655,            0.001316,            0.001316,            0.001316
                  90,            0.052172,            0.040431,             0.01149,             0.51475,             0.30915,             0.23915,              0.1052,             0.04829,            0.029549,            0.010655,            0.001266,            0.001266,            0.001266
                  91,            0.052031,            0.040982,            0.011539,             0.51902,             0.30418,              0.2392,             0.10551,            0.048155,            0.029524,            0.010654,           0.0012202,           0.0012202,           0.0012202
                  92,            0.051763,            0.040489,            0.011461,             0.51935,             0.30518,             0.23924,             0.10556,            0.048019,            0.029499,            0.010654,           0.0011787,           0.0011787,           0.0011787
                  93,            0.051516,             0.04063,            0.011646,             0.51973,              0.3035,             0.23928,              0.1057,            0.047896,            0.029474,            0.010654,           0.0011414,           0.0011414,           0.0011414
                  94,            0.051099,            0.040399,            0.011544,             0.51804,             0.30592,             0.23918,             0.10591,            0.047774,            0.029451,            0.010654,           0.0011084,           0.0011084,           0.0011084
                  95,            0.051047,             0.04084,            0.011565,             0.51878,             0.30457,             0.23932,             0.10603,             0.04766,            0.029426,            0.010653,           0.0010797,           0.0010797,           0.0010797
                  96,            0.050881,            0.040574,            0.011561,             0.52001,             0.30363,             0.23933,             0.10615,            0.047549,            0.029403,            0.010653,           0.0010554,           0.0010554,           0.0010554
                  97,            0.050718,            0.040723,            0.011531,             0.52168,             0.30233,              0.2393,             0.10632,            0.047445,            0.029381,            0.010652,           0.0010355,           0.0010355,           0.0010355
                  98,            0.050848,             0.04047,            0.011596,             0.52136,             0.30267,              0.2393,             0.10652,             0.04735,            0.029358,            0.010652,             0.00102,             0.00102,             0.00102
                  99,             0.05052,            0.040462,            0.011504,             0.52112,             0.30283,             0.23899,             0.10654,            0.047257,             0.02934,            0.010652,           0.0010089,           0.0010089,           0.0010089
